Date,Open,High,Low,Close,Adj Close,Volume
2017-12-08,7.106348,7.128332,7.023908,7.073372,5.222239,18120219
2017-12-11,7.089860,7.139324,7.034900,7.089860,5.234414,15973754
2017-12-12,6.930475,7.265732,6.908491,7.265732,5.364260,26190975
2017-12-13,7.122836,7.166804,6.875515,6.908491,5.100510,32343068
2017-12-14,6.738115,6.809563,6.721627,6.776587,5.003126,22638947
2017-12-15,6.837043,6.886507,6.776587,6.793075,5.033671,20329092
2017-12-18,6.924979,6.996428,6.853531,6.864523,5.086611,16612945
2017-12-19,6.815059,6.853531,6.782083,6.837043,5.066249,17625678
2017-12-20,6.853531,6.908491,6.820555,6.842539,5.070321,9283271
2017-12-21,6.892003,7.144820,6.892003,7.100852,5.261734,35672753
2017-12-22,7.018412,7.062380,7.001924,7.056884,5.229151,15208291
2017-12-26,7.095356,7.111844,7.056884,7.089860,5.253586,7086589
2017-12-27,7.117340,7.139324,7.040396,7.045892,5.221007,6452129
2017-12-28,7.089860,7.128332,7.078868,7.106348,5.265805,12729768
2017-12-29,7.117340,7.238252,7.106348,7.144820,5.294313,14042719
2018-01-02,7.315196,7.436109,7.293212,7.436109,5.512277,10995966
2018-01-03,7.425117,7.546029,7.403133,7.535037,5.585611,32555950
2018-01-04,7.633965,7.710910,7.606485,7.628469,5.654872,36216784
2018-01-05,7.600989,7.732894,7.573509,7.721902,5.724133,13268522
2018-01-08,7.672437,7.716406,7.611981,7.617477,5.646724,19901509
2018-01-09,7.589997,7.595493,7.507557,7.518549,5.573390,12248146
2018-01-10,7.502061,7.584501,7.474581,7.540533,5.589686,10014164
2018-01-11,7.589997,7.771366,7.584501,7.771366,5.760799,24309430
2018-01-12,7.699918,7.765870,7.683430,7.760374,5.752654,8277815
2018-01-16,7.831822,7.870294,7.787854,7.859302,5.825985,14669537
2018-01-17,7.826326,8.018686,7.804342,7.985710,5.919690,12100949
2018-01-18,8.024182,8.062655,7.958230,8.002198,5.931911,15278523
2018-01-19,8.018686,8.128607,7.980214,8.123111,6.021541,17050353
2018-01-22,8.106623,8.309975,8.106623,8.309975,6.160062,43077390
2018-01-23,8.205551,8.276999,8.134103,8.189063,6.070431,29629284
2018-01-24,8.441880,8.865073,8.386919,8.848585,6.559324,27628380
2018-01-25,8.826601,9.216818,8.771641,9.079417,6.730438,32413665
2018-01-26,9.024457,9.332234,9.002473,9.332234,6.917846,40974958
2018-01-29,9.112394,9.172850,8.931025,8.931025,6.620439,39864335
2018-01-30,8.843089,8.996977,8.782633,8.985985,6.661180,27515935
2018-01-31,9.183842,9.200330,8.985985,9.013465,6.681550,20106385
2018-02-01,9.046441,9.189338,8.980489,9.117890,6.761020,13215029
2018-02-02,8.837593,8.909041,8.755153,8.799121,6.524650,14647885
2018-02-05,8.771641,8.887057,8.342951,8.491344,6.296428,16353484
2018-02-06,8.573784,8.881561,8.540808,8.815609,6.536874,24036323
2018-02-07,8.799121,8.832097,8.430888,8.430888,6.251599,31029389
2018-02-08,8.667216,8.678208,8.304479,8.304479,6.157866,25360737
2018-02-09,8.469360,8.546304,8.216543,8.502336,6.304580,25750292
2018-02-12,8.579280,8.667216,8.502336,8.590272,6.369785,13272161
2018-02-13,8.546304,8.656224,8.513328,8.601264,6.377934,9127340
2018-02-14,8.546304,9.018961,8.496840,8.958505,6.642837,25649128
2018-02-15,9.068425,9.073921,8.903545,8.942017,6.630609,16994130
